Date,Open,High,Low,Close
27-December-2002,919.23,924.77,912.13,913.64,
30-December-2002,910.52,911.97,899.98,910.40,
31-December-2002,908.65,919.29,908.65,911.75,
1-January-2003,914.42,922.10,913.54,917.32,
2-January-2003,922.74,925.83,901.86,903.21,
3-January-2003,914.87,917.08,905.94,908.67,
6-January-2003,910.44,913.28,903.16,906.10,
7-January-2003,915.81,916.64,894.90,898.53,
8-January-2003,902.56,910.14,902.37,906.31,
9-January-2003,904.76,910.10,903.80,906.49,
10-January-2003,891.79,894.54,849.91,854.69,
13-January-2003,851.73,852.22,835.46,838.12,
14-January-2003,838.39,861.59,838.39,857.06,
15-January-2003,862.38,879.70,862.38,878.49,
16-January-2003,875.19,880.50,871.64,877.53,
17-January-2003,870.65,879.50,867.52,875.28,
20-January-2003,866.77,871.91,860.45,862.45,
21-January-2003,863.68,867.69,849.90,853.93,
22-January-2003,858.64,865.03,850.52,857.63,
23-January-2003,849.13,849.13,831.90,833.52,
24-January-2003,834.57,839.27,815.33,816.67,
27-January-2003,810.35,812.24,791.27,800.17,
28-January-2003,800.76,816.93,797.65,816.21,
29-January-2003,824.05,828.41,806.67,811.46,
30-January-2003,814.71,830.66,809.94,821.69,
31-January-2003,818.46,834.09,811.24,832.15,
3-February-2003,835.45,858.76,832.43,857.13,
4-February-2003,862.94,862.94,843.62,851.70,
5-February-2003,842.14,844.06,831.20,841.66,
6-February-2003,839.80,863.95,839.26,861.64,
7-February-2003,862.58,862.63,850.51,851.91,
10-February-2003,848.54,850.68,830.47,832.99,
11-February-2003,839.14,843.48,821.92,825.18,
12-February-2003,824.45,827.37,811.52,816.67,
14-February-2003,819.06,822.76,805.30,809.89,
17-February-2003,825.38,837.95,825.38,835.97,
18-February-2003,850.63,852.15,828.35,830.97,
19-February-2003,837.64,843.68,827.73,830.26,
20-February-2003,829.88,836.51,820.37,834.75,
21-February-2003,833.99,840.96,828.47,831.62,
24-February-2003,837.80,839.22,826.39,827.35,
25-February-2003,822.29,822.29,813.62,814.79,
26-February-2003,818.33,820.32,804.35,805.51,
27-February-2003,802.01,815.28,801.83,807.81,
28-February-2003,820.53,836.73,810.88,833.03,
3-March-2003,840.01,842.57,819.82,820.96,
4-March-2003,815.23,816.60,807.01,808.40,
5-March-2003,802.05,810.13,795.48,808.62,
6-March-2003,815.75,815.75,793.35,794.46,
7-March-2003,787.98,787.98,775.13,779.04,
10-March-2003,779.87,784.21,771.04,776.08,
11-March-2003,769.30,789.33,767.82,787.23,
12-March-2003,788.40,794.84,770.22,771.80,
13-March-2003,774.16,778.92,765.43,775.37,
17-March-2003,777.31,777.31,754.40,766.57,
19-March-2003,777.74,788.79,777.74,782.49,
20-March-2003,779.22,816.61,779.22,813.28,
21-March-2003,814.58,825.25,809.11,816.48,
22-March-2003,823.57,829.07,822.69,827.78,
24-March-2003,827.85,827.85,804.53,805.27,
25-March-2003,793.98,798.63,788.76,796.18,
26-March-2003,800.16,807.14,796.12,798.09,
27-March-2003,793.56,801.97,791.27,797.16,
28-March-2003,798.15,798.15,784.53,788.10,
31-March-2003,780.60,780.60,744.59,748.44,
1-April-2003,743.43,771.43,743.43,756.81,
2-April-2003,758.29,781.42,758.28,778.42,
3-April-2003,789.09,797.28,782.56,795.33,
4-April-2003,790.34,803.30,784.71,802.01,
7-April-2003,805.82,818.81,801.14,817.29,
8-April-2003,811.05,811.05,790.15,791.91,
9-April-2003,786.77,788.26,775.95,784.96,
10-April-2003,776.00,776.00,638.74,643.89,
11-April-2003,631.41,631.41,567.47,597.48,
15-April-2003,619.69,637.27,613.16,626.46,
16-April-2003,629.97,644.48,626.07,642.28,
17-April-2003,617.33,626.59,607.84,624.67,
21-April-2003,633.86,639.01,625.06,633.86,
22-April-2003,634.67,637.59,622.94,634.36,
23-April-2003,642.65,645.56,621.93,623.17,
24-April-2003,622.16,642.14,617.64,625.97,
25-April-2003,621.45,631.01,619.09,628.42,
28-April-2003,623.74,628.24,620.99,624.37,
29-April-2003,632.07,635.01,617.47,620.09,
30-April-2003,619.75,627.12,611.37,616.97,
2-May-2003,616.88,636.48,616.88,635.06,
5-May-2003,642.69,656.16,641.13,647.31,
6-May-2003,649.52,666.51,643.97,654.45,
7-May-2003,657.03,662.32,653.66,660.15,
8-May-2003,657.34,665.20,651.75,654.20,
9-May-2003,650.61,653.13,641.21,644.71,
12-May-2003,649.35,652.13,625.34,629.12,
13-May-2003,630.92,646.34,630.92,644.07,
14-May-2003,642.47,651.34,639.27,646.65,
15-May-2003,646.27,649.79,642.41,648.90,
16-May-2003,651.83,665.66,651.83,662.85,
19-May-2003,667.34,667.34,632.06,633.71,
20-May-2003,627.09,644.92,624.78,643.42,
