Date,Open,High,Low,Close
18-Jun-08,,,,2007.86
19-Jun-08,,,,1994.38
20-Jun-08,,,,1890.86
23-Jun-08,,,,1866.64
24-Jun-08,,,,1831.3
25-Jun-08,,,,1922.55
26-Jun-08,,,,1890.56
27-Jun-08,,,,1829.7
30-Jun-08,,,,1750.79
01-Jul-08,,,,1663.71
02-Jul-08,,,,1746.1
03-Jul-08,,,,1653.31
04-Jul-08,,,,1733.74
07-Jul-08,,,,1724.53
08-Jul-08,,,,1698.09
09-Jul-08,,,,1781.23
10-Jul-08,,,,1782.09
11-Jul-08,,,,1769.37
14-Jul-08,,,,1755.84
15-Jul-08,,,,1673.25
16-Jul-08,,,,1688.39
17-Jul-08,,,,1738.07
18-Jul-08,,,,1829
21-Jul-08,,,,1842.04
22-Jul-08,,,,1854.21
23-Jul-08,,,,1989.7
24-Jul-08,,,,1935.96
25-Jul-08,,,,1932.43
28-Jul-08,,,,1945.44
29-Jul-08,,,,1890.06
30-Jul-08,,,,1953.72
31-Jul-08,,,,1934.9
01-Aug-08,,,,1878.63
04-Aug-08,,,,1879.11
05-Aug-08,,,,1913.4
06-Aug-08,,,,1956.07
07-Aug-08,,,,1924.72
08-Aug-08,,,,1912.86
11-Aug-08,,,,1940.53
12-Aug-08,,,,1900.21
13-Aug-08,,,,1890.89
14-Aug-08,,,,1858.39
18-Aug-08,,,,1828.09
19-Aug-08,,,,1787.71
20-Aug-08,,,,1839.58
21-Aug-08,,,,1789.62
22-Aug-08,,,,1810.39
25-Aug-08,,,,1823.73
26-Aug-08,,,,1815.2
27-Aug-08,,,,1794.44
28-Aug-08,,,,1772.04
29-Aug-08,,,,1833.42
01-Sep-08,,,,1796.84
02-Sep-08,,,,1845.89
04-Sep-08,,,,1824.72
05-Sep-08,,,,1788.54
08-Sep-08,,,,1819.57
09-Sep-08,,,,1851.27
10-Sep-08,,,,1818.95
11-Sep-08,,,,1767.11
12-Sep-08,,,,1755.49
15-Sep-08,,,,1695.36
16-Sep-08,,,,1708.21
17-Sep-08,,,,1686
18-Sep-08,,,,1667.51
19-Sep-08,,,,1749.86
22-Sep-08,,,,1757.41
23-Sep-08,,,,1735.71
24-Sep-08,,,,1756.8
25-Sep-08,,,,1722.09
26-Sep-08,,,,1678.19
29-Sep-08,,,,1601.23
30-Sep-08,,,,1662.21
01-Oct-08,,,,1677.6
03-Oct-08,,,,1616.4
06-Oct-08,,,,1526.2
07-Oct-08,,,,1545.5
08-Oct-08,,,,1517.95
10-Oct-08,,,,1371.83
13-Oct-08,,,,1506.63
14-Oct-08,,,,1534.97
15-Oct-08,,,,1428.65
16-Oct-08,,,,1462.52
17-Oct-08,,,,1353.69
20-Oct-08,,,,1390.15
21-Oct-08,,,,1431.36
22-Oct-08,,,,1321.9
23-Oct-08,,,,1241.08
24-Oct-08,,,,1075.52
27-Oct-08,,,,1120.36
29-Oct-08,,,,1180.98
31-Oct-08,,,,1275.93
03-Nov-08,,,,1356.28
04-Nov-08,,,,1416.2
05-Nov-08,,,,1338.49
06-Nov-08,,,,1267.17
07-Nov-08,,,,1299.39
10-Nov-08,,,,1389.3
11-Nov-08,,,,1299.54
12-Nov-08,,,,1261.08
14-Nov-08,,,,1293.43
17-Nov-08,,,,1312.53
18-Nov-08,,,,1241.03
19-Nov-08,,,,1207.88
20-Nov-08,,,,1152.49
21-Nov-08,,,,1218.69
24-Nov-08,,,,1239.28
25-Nov-08,,,,1214
